animal;sessao;linhagem;tempo;respcorpo;resporelha;resporelha2;respingesta;respcauda;respolho;resporlev;resporass;resporneu;ncorpo;ncabeca;ncabecaor;norelha;ncauda;ningesta;ncaudapos;nolho
354;Se3;s-;Durante;1;1;1;0;0,312222222;0,600646353;0,381833333;0,557277778;0;0;0;2;2;30;0;24;6
365;Se1;s+;Antes;1;0,971175308;0,974888889;0;0;0,006549568;0,846055556;0,128833333;0,025111111;0;3;12;15;0;2;0;3
365;Se1;s+;Depois;1;1;1;0;0,003333333;0,144263797;0,966444444;0,033555556;0;0;0;8;7;0;0;0;13
365;Se1;s+;Durante;1;1;1;0;0;0,216142889;0,844888889;0,155111111;0;3;6;11;6;0;0;0;14
365;Se2;s+;Antes;1;0,979047459;0,9834;0;0,0096;0;0,775666667;0,207733333;0,0166;0;2;16;21;2;0;0;4
365;Se2;s+;Depois;1;1;1;0,1672;0,012266667;0,013298641;0,9464;0,0536;0;4;2;27;28;0;0;0;7
365;Se2;s+;Durante;1;1;1;0;0,010666667;0,025087672;1;0;0;0;1;4;8;6;1;0;16
365;Se3;s+;Antes;1;0,974492558;0,974866667;0;0,086933333;0;0,9602;0,014666667;0,025133333;0;6;10;16;0;0;0;12
365;Se3;s+;Depois;1;0,97710245;0,981866667;0;0,0368;0,073278237;0,7738;0,208066667;0,018133333;0;1;1;3;0;0;0;16
365;Se3;s+;Durante;1;1;1;0;0,056;0;0,576066667;0,340466667;0;2;1;7;12;0;0;0;11
372;Se1;s+;Antes;1;0,899973014;0,925866667;0;0;0;0,667;0,258866667;0,074133333;2;6;11;17;2;1;0;32
372;Se1;s+;Depois;1;1;1;1;0;0;0,969066667;0,030933333;0;11;12;23;25;1;0;0;21
372;Se1;s+;Durante;1;1;1;1;0,037333333;0,012680521;0,898133333;0,101866667;0;0;0;0;6;8;0;8;15
372;Se2;s+;Antes;1;0,984833895;0,985912343;0;0,425333333;0,378525933;0,909111111;0,070666667;0,014;5;8;14;6;2;2;0;14
372;Se2;s+;Depois;1;1;1;0;0,388222222;0,378632097;1;0;0;0;4;0;1;0;0;0;18
372;Se2;s+;Durante;1;1;1;0;0,273111111;0,114666667;0,990222222;0,009777778;0;0;0;0;1;0;0;0;6
372;Se3;s+;Antes;0;0;0,152680815;0;0;0,8872;0;0,1458;0,809133333;2;4;17;10;2;0;0;21
372;Se3;s+;Depois;1;1;1;0;0,032533333;0,237867178;0,559933333;0,440066667;0;9;8;6;4;0;0;0;20
372;Se3;s+;Durante;1;1;1;0,0288;0,070133333;0;1;0;0;0;0;5;4;12;0;12;31
389;Se1;s+;Antes;1;0,993539704;0,9936;1;0,0072;0,134129786;0,984266667;0,009333333;0,0064;0;13;23;15;0;0;0;18
389;Se1;s+;Depois;1;1;1;0;0,149133333;0,2024;0,568333333;0,431666667;0;0;5;12;21;2;0;0;14
389;Se1;s+;Durante;1;1;1;1;0,111466667;0,306224066;0,5592;0,4408;0;0;0;0;1;10;1;16;9
389;Se2;s+;Antes;1;0,57833733;0,697360872;0,889333333;0;0,3136;0,385866667;0,2624;0,281333333;0;5;11;18;2;0;0;8
389;Se2;s+;Depois;1;0,895833333;0,953079179;0;0,004533333;0;0,366933333;0,499733333;0,042666667;2;2;8;12;4;0;0;2
389;Se2;s+;Durante;1;0,946078431;0,994087611;0;0;0,042073001;0,102933333;0,883466667;0,005866667;0;1;0;14;10;0;4;13
389;Se3;s+;Antes;1;0,146222222;0,146222222;0;0,404666667;0,859916782;0,146222222;0;0,853777778;2;4;12;23;6;0;1;14
389;Se3;s+;Depois;1;1;1;0;0,584;0,697536712;0,047944444;0,952055556;0;0;4;17;31;4;0;0;10
389;Se3;s+;Durante;1;NA;1;0;0,455777778;1;0;1;0;0;0;0;3;8;0;12;9
433;Se1;s+;Antes;1;0,369766983;0,645388889;0;0,842222222;0,31352657;0,208055556;0,437333333;0,354611111;2;7;6;12;4;1;0;22
433;Se1;s+;Depois;1;0,412819661;0,901777778;1;0,759944444;0,113372093;0,069055556;0,832722222;0,098222222;4;12;22;23;4;0;0;26
433;Se1;s+;Durante;1;1;1;1;0,787722222;0,155555556;1;0;0;0;0;0;7;6;0;0;13
433;Se2;s+;Antes;0;0,026014246;0,371;0;0;0,439731544;0,0168;0,3542;0,629;7;5;10;5;6;0;0;18
433;Se2;s+;Depois;0;0,039751903;0,091733333;1;0;0,687381275;0,0376;0,054133333;0,908266667;0;2;2;4;2;0;0;8
433;Se2;s+;Durante;1;0,48778805;0,748781808;1;0;0,018161498;0,235666667;0,501933333;0,247466667;0;1;1;0;0;1;0;8
433;Se3;s+;Antes;1;0,905351614;0,936779911;0;0,067733333;0,053948014;0,545866667;0,299733333;0,057066667;3;2;10;3;0;1;0;7
433;Se3;s+;Depois;1;NA;1;0;0,005333333;0,535584706;0;0,929333333;0;0;2;3;3;0;0;0;4
433;Se3;s+;Durante;1;NA;1;1;0,016266667;0,352533333;0;0,4744;0;0;0;0;2;0;0;0;9
502;Se1;s-;Antes;1;0,169853667;0,371294534;0,5466;0,008;0;0,126133333;0,237933333;0,616466667;0;9;18;12;4;0;0;24
502;Se1;s-;Depois;1;0,734625419;0,944737659;0,3984;0,016266667;0,032618826;0,1314;0,680066667;0,047466667;0;2;8;3;2;0;0;24
502;Se1;s-;Durante;1;0,884402217;0,922133333;0,6592;0,021066667;0;0,595733333;0,3264;0,077866667;0;0;0;1;12;0;12;22
502;Se2;s-;Antes;0,991833333;0,036235531;0,058042302;1;0;0,772369363;0,032;0,020444444;0,851111111;0;3;11;2;2;1;0;8
502;Se2;s-;Depois;1;0,550141643;0,823555556;0;0;0,047128803;0,215777778;0,607777778;0,176444444;0;7;14;9;6;0;0;15
502;Se2;s-;Durante;1;1;1;0,836166667;0,012;0,379039497;0,055777778;0,801555556;0;2;5;3;7;2;0;0;13
502;Se3;s-;Antes;1;0,990702404;0,991466667;0;0,139733333;0,072377721;0,909266667;0,0822;0,008533333;0;0;5;7;0;0;0;16
502;Se3;s-;Depois;0;1;1;0;0;0,7072;0,652333333;0,347666667;0;0;4;12;8;0;0;0;10
502;Se3;s-;Durante;0;1;1;0;0;0,74;0,5054;0,4946;0;0;0;0;0;4;0;2;10
517;Se1;s+;Antes;0,115266667;0;0,0664;0,3226;0;0,712170566;0;0,0664;0,9336;2;2;10;12;0;0;0;8
517;Se1;s+;Depois;1;0,349370836;0,76690533;0,493533333;0,037866667;0;0,0944;0,484;0,1758;2;4;14;7;8;1;0;13
517;Se1;s+;Durante;1;0,98046663;0,9904;0,9154;0;0;0,481866667;0,508533333;0,0096;0;0;1;3;37;0;41;8
517;Se2;s+;Antes;1;0,524433725;0,6916644;0,7098;0,006933333;0,731652118;0,3334;0,3448;0,302333333;3;4;3;12;4;1;0;20
517;Se2;s+;Depois;1;0,76994488;0,788533333;1;0,0064;0,147652916;0,707733333;0,0808;0,211466667;0;0;10;5;0;0;0;2
517;Se2;s+;Durante;0,3174;0,971521562;0,981333333;0,528266667;0,0064;0,490139024;0,6368;0,344533333;0,018666667;0;0;0;2;42;1;0;3
517;Se3;s+;Antes;1;0,363408128;0,774611111;0;0,5085;0,736384439;0,128666667;0,645944444;0,225388889;0;0;0;7;2;0;0;8
517;Se3;s+;Depois;1;NA;1;0;0,5295;0,897555556;0;0,692388889;0;3;2;9;3;2;0;0;11
517;Se3;s+;Durante;1;NA;1;0,183166667;0,405555556;0,917830167;0;1;0;0;0;0;2;28;0;28;5
519;Se1;s+;Antes;1;0,381979072;0,511111111;0;0,275333333;0,763200369;0,302166667;0,208944444;0,488888889;2;11;5;3;12;0;10;4
