N,Instruction,LOCK,SET -REX,SEGMENT,MEM_XCHG,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,Min Latency,Max Latency
671,RCL_REX,0,0,0,0,2,6,0,0,0,1,1,0,0,0,0,0,0,5,6
672,RCL_REX,0,0,0,0,2,6,0,0,0,1,1,0,0,0,0,0,0,5,6
687,RCR,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,5,6
690,RCR,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,5,6
693,RCR,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,5,6
713,ROL,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
716,ROL,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
719,ROL,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
722,ROL_NOREX,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
725,ROL_REX,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
740,ROR,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
743,ROR,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
746,ROR,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
749,ROR_NOREX,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
752,ROR_REX,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
767,SAR,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
770,SAR,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
773,SAR,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
776,SAR_NOREX,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
779,SAR_REX,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
781,SBB,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2
782,SBB,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2
783,SBB,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2
803,SBB,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2
897,SHL,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
900,SHL,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
903,SHL,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
906,SHL_NOREX,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
909,SHL_REX,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
936,SHR,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
939,SHR,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
942,SHR,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
945,SHR_NOREX,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
948,SHR_REX,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2
993,SUB_29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
994,SUB_29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
996,SUB_2B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
997,SUB_2B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
