Idx,Code,Instruction,Extension,OP0,OP1,OP2,OP3,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,Min. Latency,Max. Latency,Count
53,CVTDQ2PS_XMMps_MEMdq+R128+M128,CVTDQ2PS,SSE2,XMM,M128,,,0,0,1,0,0,0,0,0,0,0,0,1,0,8,11,0
54,CVTDQ2PS_XMMps_XMMdq+R128+R128,CVTDQ2PS,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
55,CVTPD2DQ_XMMdq_MEMpd+R128+M128,CVTPD2DQ,SSE2,XMM,M128,,,0,0,1,0,0,0,0,0,1,0,0,1,0,9,12,0
56,CVTPD2DQ_XMMdq_XMMpd+R128+R128,CVTPD2DQ,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5,0
57,CVTPD2PI_MMXq_MEMpd+R64+M128,CVTPD2PI,SSE2,MM,M128,,,0,0,1,0,0,0,0,0,1,0,0,1,0,12,19,0
58,CVTPD2PI_MMXq_XMMpd+R64+R128,CVTPD2PI,SSE2,MM,XMM,,,0,0,0,0,0,0,0,0,1,0,0,1,0,8,8,0
59,CVTPD2PS_XMMps_MEMpd+R128+M128,CVTPD2PS,SSE2,XMM,M128,,,0,0,1,0,0,0,0,0,1,0,0,1,0,9,12,0
60,CVTPD2PS_XMMps_XMMpd+R128+R128,CVTPD2PS,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5,0
61,CVTPI2PD_XMMpd_MEMq+R128+M64,CVTPI2PD,SSE2,XMM,M64,,,0,0,1,0,0,0,0,0,0,0,0,1,0,8,11,0
62,CVTPI2PD_XMMpd_MMXq+R128+R64,CVTPI2PD,SSE2,XMM,MM,,,0,0,0,0,0,0,0,0,1,0,0,1,0,6,6,0
63,CVTPI2PS_XMMq_MEMq+R64+M64,CVTPI2PS,SSE,XMM,M64,,,0,0,1,0,0,0,0,0,0,0,0,1,0,8,11,0
64,CVTPI2PS_XMMq_MMXq+R64+R64,CVTPI2PS,SSE,XMM,MM,,,0,0,0,0,0,0,0,0,0,1,0,1,0,7,7,0
65,CVTPS2DQ_XMMdq_MEMps+R128+M128,CVTPS2DQ,SSE2,XMM,M128,,,0,0,1,0,0,0,0,0,0,0,0,1,0,8,11,0
66,CVTPS2DQ_XMMdq_XMMps+R128+R128,CVTPS2DQ,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
67,CVTPS2PD_XMMpd_MEMq+R128+M64,CVTPS2PD,SSE2,XMM,M64,,,0,0,1,0,0,0,0,0,0,0,0,1,0,8,11,0
68,CVTPS2PD_XMMpd_XMMq+R128+R64,CVTPS2PD,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5,0
69,CVTPS2PI_MMXq_MEMq+R64+M64,CVTPS2PI,SSE,MM,M64,,,0,0,1,0,0,0,0,0,0,1,0,0,0,10,13,0
70,CVTPS2PI_MMXq_XMMq+R64+R64,CVTPS2PI,SSE,MM,XMM,,,0,0,0,0,0,0,0,0,1,1,0,0,0,9,9,0
