n,inst ,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,min_lat,max_lat
79,VCVTDQ2PS,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
80,VCVTPD2DQ,0,0,1,0,0,0,0,0,1,0,0,1,0,9,12
81,VCVTPD2DQ,0,0,1,0,0,0,0,0,1,0,0,1,0,12,15
82,VCVTPD2DQ,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5
83,VCVTPD2DQ,0,0,0,0,0,0,0,0,1,0,0,1,0,7,7
84,VCVTPD2PS,0,0,1,0,0,0,0,0,1,0,0,1,0,9,12
85,VCVTPD2PS,0,0,1,0,0,0,0,0,1,0,0,1,0,12,15
86,VCVTPD2PS,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5
87,VCVTPD2PS,0,0,0,0,0,0,0,0,1,0,0,1,0,7,7
88,VCVTPS2DQ,0,0,1,0,0,0,0,0,0,0,0,1,0,8,11
89,VCVTPS2DQ,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
90,VCVTPS2DQ,0,0,1,0,0,0,0,0,0,0,0,1,0,9,12
91,VCVTPS2DQ,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
92,VCVTPS2PD,0,0,1,0,0,0,0,0,0,0,0,1,0,8,11
93,VCVTPS2PD,0,0,0,0,0,0,0,0,1,0,0,1,0,5,5
94,VCVTPS2PD,0,0,1,0,0,0,0,0,0,0,0,1,0,9,12
95,VCVTPS2PD,0,0,0,0,0,0,0,0,1,0,0,1,0,7,7
96,VCVTSD2SI,0,0,1,0,0,0,0,0,0,1,0,1,0,12,21
97,VCVTSD2SI,0,0,0,0,0,0,0,0,0,1,0,1,0,7,7
98,VCVTSD2SI,0,0,1,0,0,0,0,0,0,1,0,1,0,11,12
99,VCVTSD2SI,0,0,0,0,0,0,0,0,0,1,0,1,0,7,7
100,VCVTSD2SS,0,0,1,0,0,0,0,0,1,0,0,1,0,1,12
101,VCVTSD2SS,0,0,0,0,0,0,0,0,1,0,0,1,0,1,5
