n,inst ,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,min_lat,max_lat
338,VPACKSSWB,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
339,VPACKSSWB,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
340,VPACKUSDW,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
341,VPACKUSDW,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
342,VPACKUSWB,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
343,VPACKUSWB,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
344,VPADDB,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8
345,VPADDB,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
346,VPADDD,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8
347,VPADDD,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
348,VPADDQ,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8
349,VPADDQ,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
350,VPADDSB,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
351,VPADDSB,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
352,VPADDSW,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
353,VPADDSW,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
354,VPADDUSB,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
355,VPADDUSB,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
356,VPADDUSW,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
357,VPADDUSW,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
358,VPADDW,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8
359,VPADDW,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
360,VPALIGNR,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
361,VPALIGNR,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
362,VPAND,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8
363,VPAND,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
364,VPANDN,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8
365,VPANDN,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
366,VPAVGB,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
367,VPAVGB,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
368,VPAVGW,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
369,VPAVGW,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
370,VPBLENDVB,0,0,1,0,0,0,0,2,0,0,0,0,0,1,8
371,VPBLENDVB,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2
372,VPBLENDW,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
373,VPBLENDW,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
374,VPCLMULQDQ,0,0,1,0,0,0,0,0,1,0,0,0,0,7,14
375,VPCLMULQDQ,0,0,0,0,0,0,0,0,1,0,0,0,0,7,7
376,VPCMPEQB,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
377,VPCMPEQB,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
378,VPCMPEQD,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
379,VPCMPEQD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
380,VPCMPEQQ,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
381,VPCMPEQQ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
382,VPCMPEQW,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
383,VPCMPEQW,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
384,VPCMPESTRI,0,1,1,0,0,1,0,0,2,3,0,0,0,11,25
385,VPCMPESTRI,0,1,0,0,0,1,0,0,3,3,0,0,0,11,16
386,VPCMPESTRI64,0,1,1,0,0,1,0,0,2,3,0,0,0,11,25
387,VPCMPESTRI64,0,1,0,0,0,1,0,0,3,3,0,0,0,11,16
388,VPCMPESTRM,0,1,1,0,0,1,0,0,3,3,0,0,0,9,16
389,VPCMPESTRM,0,1,0,0,0,1,0,0,4,3,0,0,0,9,16
390,VPCMPESTRM64,0,1,1,0,0,1,0,0,3,3,0,0,0,9,16
391,VPCMPESTRM64,0,1,0,0,0,1,0,0,4,3,0,0,0,9,16
392,VPCMPGTB,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
393,VPCMPGTB,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
394,VPCMPGTD,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
395,VPCMPGTD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
396,VPCMPGTQ,0,0,1,0,0,0,0,0,1,0,0,0,0,3,10
397,VPCMPGTQ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
398,VPCMPGTW,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
399,VPCMPGTW,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
400,VPCMPISTRI,0,0,1,0,0,0,0,0,0,3,0,0,0,11,29
401,VPCMPISTRI,0,0,0,0,0,0,0,0,0,3,0,0,0,11,12
402,VPCMPISTRM,0,0,1,0,0,0,0,0,0,3,0,0,0,8,16
403,VPCMPISTRM,0,0,0,0,0,0,0,0,0,3,0,0,0,8,12
404,VPERM2F128,0,0,1,0,0,0,0,0,1,0,0,0,0,3,11
405,VPERM2F128,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3
406,VPERMILPD,0,0,1,0,0,0,0,0,1,0,0,0,0,5,8
407,VPERMILPD,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
408,VPERMILPD,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
409,VPERMILPD,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
410,VPERMILPD,0,0,1,0,0,0,0,0,1,0,0,0,0,6,9
411,VPERMILPD,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
412,VPERMILPD,0,0,1,0,0,0,0,0,1,0,0,0,0,1,9
413,VPERMILPD,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
414,VPERMILPS,0,0,1,0,0,0,0,0,1,0,0,0,0,5,8
415,VPERMILPS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
416,VPERMILPS,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
417,VPERMILPS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
418,VPERMILPS,0,0,1,0,0,0,0,0,1,0,0,0,0,6,9
419,VPERMILPS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
420,VPERMILPS,0,0,1,0,0,0,0,0,1,0,0,0,0,1,9
421,VPERMILPS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
422,VPEXTRB,0,0,0,1,1,0,0,0,1,0,0,0,0,11,13
423,VPEXTRB,0,0,0,0,0,0,0,0,1,1,0,0,0,4,4
424,VPEXTRD,0,0,0,1,1,0,0,0,1,0,0,0,0,5,10
425,VPEXTRD,0,0,0,0,0,0,0,0,1,1,0,0,0,4,4
426,VPEXTRQ,0,0,0,1,1,0,0,0,1,0,0,0,0,5,10
427,VPEXTRQ,0,0,0,0,0,0,0,0,1,1,0,0,0,4,4
428,VPEXTRW,0,0,0,1,1,0,0,0,1,0,0,0,0,11,15
429,VPEXTRW,0,0,0,0,0,0,0,0,1,1,0,0,0,4,4
430,VPHADDD,0,0,1,0,0,0,0,1,2,0,0,0,0,3,10
431,VPHADDD,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3
432,VPHADDSW,0,0,1,0,0,0,0,0,2,0,0,1,0,3,10
433,VPHADDSW,0,0,0,0,0,0,0,0,2,0,0,1,0,3,3
434,VPHADDW,0,0,1,0,0,0,0,1,2,0,0,0,0,3,10
435,VPHADDW,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3
436,VPHMINPOSUW,0,0,1,0,0,0,0,0,0,1,0,0,0,8,11
437,VPHMINPOSUW,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4
438,VPHSUBD,0,0,1,0,0,0,0,1,2,0,0,0,0,3,10
439,VPHSUBD,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3
440,VPHSUBSW,0,0,1,0,0,0,0,0,2,0,0,1,0,3,10
441,VPHSUBSW,0,0,0,0,0,0,0,0,2,0,0,1,0,3,3
442,VPHSUBW,0,0,1,0,0,0,0,1,2,0,0,0,0,3,10
443,VPHSUBW,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3
444,VPINSRB,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
445,VPINSRB,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4
446,VPINSRD,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
447,VPINSRD,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4
448,VPINSRQ,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
449,VPINSRQ,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4
450,VPINSRW,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
451,VPINSRW,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4
452,VPMADDUBSW,0,0,1,0,0,0,0,0,0,0,0,1,0,5,12
453,VPMADDUBSW,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5
454,VPMADDWD,0,0,1,0,0,0,0,0,0,0,0,1,0,5,12
455,VPMADDWD,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5
456,VPMAXSB,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
457,VPMAXSB,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
458,VPMAXSD,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
459,VPMAXSD,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
460,VPMAXSW,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
461,VPMAXSW,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
462,VPMAXUB,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
463,VPMAXUB,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
464,VPMAXUD,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
465,VPMAXUD,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
466,VPMAXUW,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
467,VPMAXUW,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
468,VPMINSB,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
469,VPMINSB,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
470,VPMINSD,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
471,VPMINSD,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
472,VPMINSW,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
473,VPMINSW,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
474,VPMINUB,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
475,VPMINUB,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
476,VPMINUD,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
477,VPMINUD,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
478,VPMINUW,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
479,VPMINUW,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
480,VPMOVMSKB,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3
481,VPMOVSXBD,0,0,1,0,0,0,0,0,1,0,0,0,0,5,8
482,VPMOVSXBD,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
483,VPMOVSXBQ,0,0,1,0,0,0,0,0,1,0,0,0,0,5,8
484,VPMOVSXBQ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
485,VPMOVSXBW,0,0,1,0,0,0,0,0,1,0,0,0,0,5,8
486,VPMOVSXBW,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
487,VPMOVSXDQ,0,0,1,0,0,0,0,0,1,0,0,0,0,5,8
488,VPMOVSXDQ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
489,VPMOVSXWD,0,0,1,0,0,0,0,0,1,0,0,0,0,5,8
490,VPMOVSXWD,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
491,VPMOVSXWQ,0,0,1,0,0,0,0,0,1,0,0,0,0,5,8
492,VPMOVSXWQ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
493,VPMOVZXBD,0,0,1,0,0,0,0,0,1,0,0,0,0,5,8
494,VPMOVZXBD,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
495,VPMOVZXBQ,0,0,1,0,0,0,0,0,1,0,0,0,0,5,8
496,VPMOVZXBQ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
497,VPMOVZXBW,0,0,1,0,0,0,0,0,1,0,0,0,0,5,8
498,VPMOVZXBW,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
499,VPMOVZXDQ,0,0,1,0,0,0,0,0,1,0,0,0,0,5,8
500,VPMOVZXDQ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
501,VPMOVZXWD,0,0,1,0,0,0,0,0,1,0,0,0,0,5,8
502,VPMOVZXWD,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
503,VPMOVZXWQ,0,0,1,0,0,0,0,0,1,0,0,0,0,5,8
504,VPMOVZXWQ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
505,VPMULDQ,0,0,1,0,0,0,0,0,0,0,0,1,0,5,12
506,VPMULDQ,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5
507,VPMULHRSW,0,0,1,0,0,0,0,0,0,0,0,1,0,5,12
508,VPMULHRSW,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5
509,VPMULHUW,0,0,1,0,0,0,0,0,0,0,0,1,0,5,12
510,VPMULHUW,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5
511,VPMULHW,0,0,1,0,0,0,0,0,0,0,0,1,0,5,12
512,VPMULHW,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5
513,VPMULLD,0,0,1,0,0,0,0,0,0,0,0,2,0,10,17
514,VPMULLD,0,0,0,0,0,0,0,0,0,0,0,2,0,10,10
515,VPMULLW,0,0,1,0,0,0,0,0,0,0,0,1,0,5,12
516,VPMULLW,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5
517,VPMULUDQ,0,0,1,0,0,0,0,0,0,0,0,1,0,5,12
518,VPMULUDQ,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5
519,VPOR,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8
520,VPOR,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
521,VPSADBW,0,0,1,0,0,0,0,0,1,0,0,0,0,3,10
522,VPSADBW,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3
523,VPSHUFB,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
524,VPSHUFB,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
525,VPSHUFD,0,0,1,0,0,0,0,0,1,0,0,0,0,5,8
526,VPSHUFD,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
527,VPSHUFHW,0,0,1,0,0,0,0,0,1,0,0,0,0,5,8
528,VPSHUFHW,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
529,VPSHUFLW,0,0,1,0,0,0,0,0,1,0,0,0,0,5,8
530,VPSHUFLW,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
531,VPSIGNB,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
532,VPSIGNB,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
533,VPSIGND,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
534,VPSIGND,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
535,VPSIGNW,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
536,VPSIGNW,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
537,VPSLLD,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
538,VPSLLD,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
539,VPSLLD,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2
540,VPSLLDQ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
541,VPSLLQ,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
542,VPSLLQ,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
543,VPSLLQ,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2
544,VPSLLW,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
545,VPSLLW,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
546,VPSLLW,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2
547,VPSRAD,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
548,VPSRAD,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
549,VPSRAD,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2
550,VPSRAW,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
551,VPSRAW,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
552,VPSRAW,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2
553,VPSRLD,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
554,VPSRLD,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
555,VPSRLD,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2
556,VPSRLDQ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
557,VPSRLQ,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
558,VPSRLQ,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
559,VPSRLQ,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2
560,VPSRLW,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
561,VPSRLW,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
562,VPSRLW,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2
563,VPSUBB,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8
564,VPSUBB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
565,VPSUBD,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8
566,VPSUBD,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
567,VPSUBQ,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8
568,VPSUBQ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
569,VPSUBSB,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
570,VPSUBSB,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
571,VPSUBSW,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
572,VPSUBSW,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
573,VPSUBUSB,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
574,VPSUBUSB,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
575,VPSUBUSW,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8
576,VPSUBUSW,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
577,VPSUBW,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8
578,VPSUBW,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
579,VPTEST,0,0,1,0,0,0,0,0,1,1,0,0,0,4,9
580,VPTEST,0,0,0,0,0,0,0,0,1,1,0,0,0,4,4
581,VPTEST,0,0,1,0,0,0,0,0,1,1,0,0,0,6,12
582,VPTEST,0,0,0,0,0,0,0,0,1,1,0,0,0,6,6
583,VPUNPCKHBW,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
584,VPUNPCKHBW,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
585,VPUNPCKHDQ,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
586,VPUNPCKHDQ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
587,VPUNPCKHQDQ,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
588,VPUNPCKHQDQ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
589,VPUNPCKHWD,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
590,VPUNPCKHWD,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
591,VPUNPCKLBW,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
592,VPUNPCKLBW,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
593,VPUNPCKLDQ,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
594,VPUNPCKLDQ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
595,VPUNPCKLQDQ,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
596,VPUNPCKLQDQ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
597,VPUNPCKLWD,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
598,VPUNPCKLWD,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
599,VPXOR,0,0,1,0,0,0,0,1,0,0,0,0,0,1,8
600,VPXOR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
601,VRCPPS,0,0,1,0,0,0,0,0,0,1,0,0,0,8,11
602,VRCPPS,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4
603,VRCPPS,0,0,1,0,0,0,0,0,0,1,0,0,0,9,12
604,VRCPPS,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4
605,VRCPSS,0,0,1,0,0,0,0,0,0,1,0,0,0,4,11
606,VRCPSS,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4
607,VROUNDPD,0,0,1,0,0,0,0,0,0,0,0,2,0,12,15
608,VROUNDPD,0,0,0,0,0,0,0,0,0,0,0,2,0,8,8
609,VROUNDPD,0,0,1,0,0,0,0,0,0,0,0,2,0,13,16
610,VROUNDPD,0,0,0,0,0,0,0,0,0,0,0,2,0,8,8
611,VROUNDPS,0,0,1,0,0,0,0,0,0,0,0,2,0,12,15
612,VROUNDPS,0,0,0,0,0,0,0,0,0,0,0,2,0,8,8
613,VROUNDPS,0,0,1,0,0,0,0,0,0,0,0,2,0,13,16
614,VROUNDPS,0,0,0,0,0,0,0,0,0,0,0,2,0,8,8
615,VROUNDSD,0,0,1,0,0,0,0,0,0,0,0,2,0,8,15
616,VROUNDSD,0,0,0,0,0,0,0,0,0,0,0,2,0,8,8
617,VROUNDSS,0,0,1,0,0,0,0,0,0,0,0,2,0,8,15
618,VROUNDSS,0,0,0,0,0,0,0,0,0,0,0,2,0,8,8
619,VRSQRTPS,0,0,1,0,0,0,0,0,0,1,0,0,0,11,11
620,VRSQRTPS,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5
621,VRSQRTPS,0,0,1,0,0,0,0,0,0,1,0,0,0,12,12
622,VRSQRTPS,0,0,0,0,0,0,0,0,0,1,0,0,0,4,6
623,VRSQRTSS,0,0,1,0,0,0,0,0,0,1,0,0,0,4,11
624,VRSQRTSS,0,0,0,0,0,0,0,0,0,1,0,0,0,4,6
625,VSHUFPD,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
626,VSHUFPD,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
627,VSHUFPD,0,0,1,0,0,0,0,0,1,0,0,0,0,1,9
628,VSHUFPD,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
629,VSHUFPS,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
630,VSHUFPS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
631,VSHUFPS,0,0,1,0,0,0,0,0,1,0,0,0,0,1,9
632,VSHUFPS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
633,VSQRTPD,0,0,1,0,0,0,0,0,0,1,0,0,0,20,25
634,VSQRTPD,0,0,0,0,0,0,0,0,0,1,0,0,0,13,19
635,VSQRTPD,0,0,1,0,0,0,0,0,0,1,0,0,0,21,26
636,VSQRTPD,0,0,0,0,0,0,0,0,0,1,0,0,0,13,19
637,VSQRTPS,0,0,1,0,0,0,0,0,0,1,0,0,0,19,19
638,VSQRTPS,0,0,0,0,0,0,0,0,0,1,0,0,0,12,13
639,VSQRTPS,0,0,1,0,0,0,0,0,0,1,0,0,0,20,20
640,VSQRTPS,0,0,0,0,0,0,0,0,0,1,0,0,0,12,13
641,VSQRTSD,0,0,1,0,0,0,0,0,0,1,0,0,0,13,25
642,VSQRTSD,0,0,0,0,0,0,0,0,0,1,0,0,0,13,19
643,VSQRTSS,0,0,1,0,0,0,0,0,0,1,0,0,0,12,19
644,VSQRTSS,0,0,0,0,0,0,0,0,0,1,0,0,0,12,13
645,VSTMXCSR,0,1,0,1,1,0,0,0,0,1,0,0,0,10,10
646,VSUBPD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
647,VSUBPD,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
648,VSUBPD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,12
649,VSUBPD,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
650,VSUBPS,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
651,VSUBPS,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
652,VSUBPS,0,0,1,0,0,0,0,0,0,0,0,1,0,4,12
653,VSUBPS,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
654,VSUBSD,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
655,VSUBSD,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
656,VSUBSS,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11
657,VSUBSS,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
658,VTESTPD,0,0,1,0,0,0,0,0,0,1,0,0,0,3,8
659,VTESTPD,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3
660,VTESTPD,0,0,1,0,0,0,0,0,0,1,0,0,0,5,11
661,VTESTPD,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5
662,VTESTPS,0,0,1,0,0,0,0,0,0,1,0,0,0,3,8
663,VTESTPS,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3
664,VTESTPS,0,0,1,0,0,0,0,0,0,1,0,0,0,5,11
665,VTESTPS,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5
666,VUCOMISD,0,0,1,0,0,0,0,0,0,1,0,0,0,3,8
667,VUCOMISD,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3
668,VUCOMISS,0,0,1,0,0,0,0,0,0,1,0,0,0,3,8
669,VUCOMISS,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3
670,VUNPCKHPD,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
671,VUNPCKHPD,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
672,VUNPCKHPD,0,0,1,0,0,0,0,0,1,0,0,0,0,1,9
673,VUNPCKHPD,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
674,VUNPCKHPS,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
675,VUNPCKHPS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
676,VUNPCKHPS,0,0,1,0,0,0,0,0,1,0,0,0,0,1,9
677,VUNPCKHPS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
678,VUNPCKLPD,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
679,VUNPCKLPD,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
680,VUNPCKLPD,0,0,1,0,0,0,0,0,1,0,0,0,0,1,9
681,VUNPCKLPD,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
682,VUNPCKLPS,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
