Idx,Code,Instruction,OP0,OP1,OP2,LOCK,SET -REX,SEGMENT,MEM_XCHG,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,Min. Latency,Max. Latency,Count
39,ADC_MEMv_GPRv+M16+R16,ADC,M16,R16,,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,1,10,0
40,ADC_MEMv_GPRv+M32+R32,ADC,M32,R32,,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,1,10,0
41,ADC_MEMv_GPRv+M64+R64,ADC,M64,R64,,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,1,10,0
42,ADC_MEMv_IMMb+M16+I8,ADC,M16,I8,,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,2,11,0
43,ADC_MEMv_IMMb+M32+I8,ADC,M32,I8,,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,2,10,618387
44,ADC_MEMv_IMMb+M64+I8,ADC,M64,I8,,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,2,10,0
45,ADC_MEMv_IMMz+M16+I16,ADC,M16,I16,,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,2,11,0
46,ADC_MEMv_IMMz+M32+I32,ADC,M32,I32,,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,2,10,0
47,ADC_MEMv_IMMz+M64+I32,ADC,M64,I32,,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,2,10,0
48,ADC_OrAX_IMMz+I16,ADC,AX,I16,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
49,ADC_OrAX_IMMz+I32,ADC,EAX,I32,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
50,ADC_OrAX_IMMz+I32,ADC,RAX,I32,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
51,ADD_AL_IMMb+I8,ADD,AL,I8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
52,ADD_GPR8_GPR8_00+R8+R8,ADD_NOREX_00,R8,R8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,127309
53,ADD_GPR8_GPR8_00+R8+R8,ADD_REX_00,R8,R8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,127309
54,ADD_GPR8_GPR8_02+R8+R8,ADD_NOREX_02,R8,R8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
55,ADD_GPR8_GPR8_02+R8+R8,ADD_REX_02,R8,R8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
56,ADD_GPR8_IMMb_80r0+R8+I8,ADD_NOREX,R8,I8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
57,ADD_GPR8_IMMb_80r0+R8+I8,ADD_REX,R8,I8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
58,ADD_GPR8_MEMb+R8+M8,ADD_NOREX,R8,M8,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6,61321456
59,ADD_GPR8_MEMb+R8+M8,ADD_REX,R8,M8,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6,61321456
60,ADD_GPRv_GPRv_01+R16+R16,ADD_01,R16,R16,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
61,ADD_GPRv_GPRv_01+R32+R32,ADD_01,R32,R32,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,135411651078
62,ADD_GPRv_GPRv_01+R64+R64,ADD_01,R64,R64,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,273315666877
63,ADD_GPRv_GPRv_03+R16+R16,ADD_03,R16,R16,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
64,ADD_GPRv_GPRv_03+R32+R32,ADD_03,R32,R32,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
65,ADD_GPRv_GPRv_03+R64+R64,ADD_03,R64,R64,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
66,ADD_GPRv_IMMb+R16+I8,ADD,R16,I8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,209506977
67,ADD_GPRv_IMMb+R32+I8,ADD,R32,I8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,180071867322
68,ADD_GPRv_IMMb+R64+I8,ADD,R64,I8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,494132904902
69,ADD_GPRv_IMMz+R16+I16,ADD,R16,I16,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,676935
70,ADD_GPRv_IMMz+R32+I32,ADD,R32,I32,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3628946262
71,ADD_GPRv_IMMz+R64+I32,ADD,R64,I32,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,116913982830
72,ADD_GPRv_MEMv+R16+M16,ADD,R16,M16,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6,1320385
73,ADD_GPRv_MEMv+R32+M32,ADD,R32,M32,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6,32849715311
74,ADD_GPRv_MEMv+R64+M64,ADD,R64,M64,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6,75812380375
75,ADD_LOCK_MEMb_GPR8+M8+R8,ADD_LOCK_NOREX,M8,R8,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,30,0
76,ADD_LOCK_MEMb_GPR8+M8+R8,ADD_LOCK_REX,M8,R8,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,30,0
77,ADD_LOCK_MEMb_IMMb_80r0+M8+I8,ADD_LOCK,M8,I8,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,30,0
78,ADD_LOCK_MEMv_GPRv+M16+R16,ADD_LOCK,M16,R16,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,30,0
79,ADD_LOCK_MEMv_GPRv+M32+R32,ADD_LOCK,M32,R32,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,29,0
80,ADD_LOCK_MEMv_GPRv+M64+R64,ADD_LOCK,M64,R64,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,29,526
81,ADD_LOCK_MEMv_IMMb+M16+I8,ADD_LOCK,M16,I8,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,30,0
82,ADD_LOCK_MEMv_IMMb+M32+I8,ADD_LOCK,M32,I8,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,29,0
83,ADD_LOCK_MEMv_IMMb+M64+I8,ADD_LOCK,M64,I8,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,29,0
84,ADD_LOCK_MEMv_IMMz+M16+I16,ADD_LOCK,M16,I16,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,30,0
85,ADD_LOCK_MEMv_IMMz+M32+I32,ADD_LOCK,M32,I32,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,32,0
86,ADD_LOCK_MEMv_IMMz+M64+I32,ADD_LOCK,M64,I32,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,29,0
87,ADD_MEMb_GPR8+M8+R8,ADD_NOREX,M8,R8,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,11,1599823
88,ADD_MEMb_GPR8+M8+R8,ADD_REX,M8,R8,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,11,1599823
89,ADD_MEMb_IMMb_80r0+M8+I8,ADD,M8,I8,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,11,43658352
90,ADD_MEMv_GPRv+M16+R16,ADD,M16,R16,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,11,4827831556
91,ADD_MEMv_GPRv+M32+R32,ADD,M32,R32,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,10,2929281847
92,ADD_MEMv_GPRv+M64+R64,ADD,M64,R64,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,10,5934424094
93,ADD_MEMv_IMMb+M16+I8,ADD,M16,I8,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,11,1752499753
94,ADD_MEMv_IMMb+M32+I8,ADD,M32,I8,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,10,175085425444
95,ADD_MEMv_IMMb+M64+I8,ADD,M64,I8,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,10,9901725492
96,ADD_MEMv_IMMz+M16+I16,ADD,M16,I16,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,11,0
97,ADD_MEMv_IMMz+M32+I32,ADD,M32,I32,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,10,13054
98,ADD_MEMv_IMMz+M64+I32,ADD,M64,I32,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,10,88900599
99,ADD_OrAX_IMMz+I16,ADD,AX,I16,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15372
100,ADD_OrAX_IMMz+I32,ADD,EAX,I32,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5047131968
101,ADD_OrAX_IMMz+I32,ADD,RAX,I32,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5047131968
102,AND_AL_IMMb+I8,AND,AL,I8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15563
103,AND_GPR8_GPR8_20+R8+R8,AND_NOREX_20,R8,R8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31347735
104,AND_GPR8_GPR8_20+R8+R8,AND_REX_20,R8,R8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,31347735
105,AND_GPR8_GPR8_22+R8+R8,AND_NOREX_22,R8,R8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
106,AND_GPR8_GPR8_22+R8+R8,AND_REX_22,R8,R8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
107,AND_GPR8_IMMb_80r4+R8+I8,AND_NOREX,R8,I8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5206646602
108,AND_GPR8_IMMb_80r4+R8+I8,AND_REX,R8,I8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5206646602
109,AND_GPR8_MEMb+R8+M8,AND_NOREX,R8,M8,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6,605069204
110,AND_GPR8_MEMb+R8+M8,AND_REX,R8,M8,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6,605069204
111,AND_GPRv_GPRv_21+R16+R16,AND_21,R16,R16,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
112,AND_GPRv_GPRv_21+R32+R32,AND_21,R32,R32,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2577490410
113,AND_GPRv_GPRv_21+R64+R64,AND_21,R64,R64,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34572149572
114,AND_GPRv_GPRv_23+R16+R16,AND_23,R16,R16,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
115,AND_GPRv_GPRv_23+R32+R32,AND_23,R32,R32,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
116,AND_GPRv_GPRv_23+R64+R64,AND_23,R64,R64,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
117,AND_GPRv_IMMb+R16+I8,AND,R16,I8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9591851
118,AND_GPRv_IMMb+R32+I8,AND,R32,I8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,99376446513
119,AND_GPRv_IMMb+R64+I8,AND,R64,I8,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6846648342
120,AND_GPRv_IMMz+R16+I16,AND,R16,I16,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,47646768
121,AND_GPRv_IMMz+R32+I32,AND,R32,I32,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23387461377
122,AND_GPRv_IMMz+R64+I32,AND,R64,I32,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25093
123,AND_GPRv_MEMv+R16+M16,AND,R16,M16,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6,1842
124,AND_GPRv_MEMv+R32+M32,AND,R32,M32,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6,5742895735
125,AND_GPRv_MEMv+R64+M64,AND,R64,M64,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6,19842851836
126,AND_LOCK_MEMb_GPR8+M8+R8,AND_LOCK_NOREX,M8,R8,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,30,0
127,AND_LOCK_MEMb_GPR8+M8+R8,AND_LOCK_REX,M8,R8,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,12,30,0
128,AND_LOCK_MEMb_IMMb_80r4+M8+I8,AND_LOCK,M8,I8,,1,0,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,15,30,0
