"","n","inst","lock","segment","p0156","p06","p23","p237","p4","p1","p15","p0","p05","min_lat","max_lat","count","pred_min","pred_max","pearson_min","pearson_max","raw_min","raw_max"
"419",418,"IDIV_REX","0",0,5,1,0,"0","0","0","1","1",0,22,25,0,16.8429868160389,18.7150279905669,-0.179933603312945,0.497770482196341,5.15701318396109,6.28497200943312
"420",419,"IDIV","0",0,4,1,0,"0","0","0","1","1",0,21,24,0,15.7831251148784,16.8944422758547,-0.286091235535491,0.611385970275313,5.21687488512157,7.10555772414528
"421",420,"IDIV","0",0,4,1,0,"0","0","0","1","1",0,23,28,6569889013,15.7831251148784,16.8944422758547,-0.530180425297182,0.955559359056758,7.21687488512157,11.1055577241453
"422",421,"IDIV","0",0,0,27,0,"0","0","1","1","1",6,37,96,390368,307.65753523294,162.047959627838,-0.259860761386033,-0.871595612590641,-270.65753523294,-66.0479596278376
"423",422,"IDIV","0",0,3,1,1,"0","0","0","1","1",0,21,30,0,12.2790005782032,24.5614791173142,0.560068735896396,0.345183515542869,8.72099942179684,5.43852088268576
"424",423,"IDIV","0",0,4,1,1,"0","0","0","1","1",0,21,30,0,13.103554799667,27.2082831539939,0.636802760533668,0.162948740213024,7.896445200333,2.79171684600614
"425",424,"IDIV","0",0,4,1,1,"0","0","0","1","1",0,23,34,2400915432,13.103554799667,27.2082831539939,0.562777649036554,0.396423335526858,9.896445200333,6.79171684600614
"426",425,"IDIV","0",0,0,27,1,"0","0","1","1","1",6,37,101,191356695,255.425167266462,260.976165894657,0.443369880318499,-1.41200836637728,-218.425167266462,-159.976165894657
"468",467,"LAR","0",1,1,11,2,"0","0","1","0","1",0,37,57,0,42.1061214528197,89.8433603210191,0.695775710231574,-0.711440339783067,-5.10612145281974,-32.8433603210191
"469",468,"LAR","0",1,1,11,2,"0","0","1","0","1",0,37,56,0,42.1061214528197,89.8433603210191,0.722295942284472,-0.733101958229817,-5.10612145281974,-33.8433603210191
"470",469,"LAR","0",1,1,11,2,"0","0","1","0","1",0,37,56,0,42.1061214528197,89.8433603210191,0.722295942284472,-0.733101958229817,-5.10612145281974,-33.8433603210191
"471",470,"LAR","0",1,0,12,3,"0","0","1","0","1",0,38,63,0,36.4502679695913,143.169072447669,1.4988330652268,-1.17425726508312,1.54973203040873,-80.1690724476695
"472",471,"LAR","0",1,0,12,3,"0","0","1","0","1",0,38,63,0,36.4502679695913,143.169072447669,1.4988330652268,-1.17425726508312,1.54973203040873,-80.1690724476695
"473",472,"LAR","0",1,0,12,3,"0","0","1","0","1",0,38,63,0,36.4502679695913,143.169072447669,1.4988330652268,-1.17425726508312,1.54973203040873,-80.1690724476695
"480",479,"LSL","0",1,3,6,2,"0","0","1","0","1",0,35,55,0,28.1106007853145,69.681324516248,0.831591334691928,-0.393329433509978,6.88939921468551,-14.681324516248
"481",480,"LSL","0",1,3,6,2,"0","0","1","0","1",0,36,54,0,28.1106007853145,69.681324516248,0.915200070502329,-0.42012057439612,7.88939921468551,-15.681324516248
"482",481,"LSL","0",1,3,6,2,"0","0","1","0","1",0,35,54,0,28.1106007853145,69.681324516248,0.864391620368134,-0.42012057439612,6.88939921468551,-15.681324516248
"483",482,"LSL","0",1,0,7,3,"0","0","1","0","1",0,37,61,0,21.368468415319,90.4870392158458,1.81266169905448,-0.634928722416348,15.631531584681,-29.4870392158458
"484",483,"LSL","0",1,0,7,3,"0","0","1","0","1",0,39,61,0,21.368468415319,90.4870392158458,1.94512741691827,-0.634928722416348,17.631531584681,-29.4870392158458
"485",484,"LSL","0",1,0,7,3,"0","0","1","0","1",0,39,60,0,21.368468415319,90.4870392158458,1.97148953035484,-0.656461190215799,17.631531584681,-30.4870392158458
"486",485,"MOVSB","0",0,2,0,2,"0","1","0","0","0",0,6,6,124340,6.02147143118122,12.6945236270878,0.882755710892426,-0.724894318552947,-0.0214714311812214,-6.69452362708781
"487",486,"MOVSD","0",0,2,0,2,"0","1","0","0","0",0,5,5,0,6.02147143118122,12.6945236270878,0.795056128564633,-0.833176006531436,-1.02147143118122,-7.69452362708781
